ALLOC_KEY,v_all
12282646,0.530544221
12382643,0.87097913
12382644,0.858056426
12382645,1.432673812
12382646,2.238179922
12382647,0.986550927
12392643,0.752326548
12392644,0.240122125
12392645,0.03005575
12392646,0.266547889
12392647,1.204784751
12402645,0.04795466
12402646,0.288679987
12402647,0.703041732
12412646,0.113315307
12412647,1.353608131
12262634,0.144443899
12262635,0.02879088
12262636,0.027795101
12262637,0.141245916
12272634,0.072484747
12272635,0.05849297
12272636,0.575718522
12272637,0.407416761
12282633,0.020907659
12282634,0.107524619
12282635,0.02073366
12282636,0.660549283
12282637,0.601158142
12282638,0.018160639
12282639,0.033734299
12282640,0.061514311
12282641,0.107954219
12292633,0.00329801
12292634,0.00249913
12292635,0.0116334
12292636,0.563570499
12292637,0.0073227
12292638,0.01292569
12292639,0.070198268
12292640,0.016892411
12292641,0.352587074
12292642,0.118964478
12302632,0.081084251
12302633,0.025624329
12302634,0.03036383
12302635,0.082058348
12302636,0.615528703
12302637,0.57848984
12302638,0.610354543
12302639,0.658003807
12302640,0.395039797
12302641,0.389932603
12302642,0.169917136
12312632,0.077899829
12312633,0.026859291
12312634,0.01150731
12312635,0.662578881
12312636,0.823330879
12312637,0.668704987
12312638,0.587583303
12312639,0.0086634
12312640,0.036667421
12312641,0.393069267
12312642,0.248024181
12322632,0.01218452
12322633,0.01100142
12322634,0.01039174
12322635,0.043046441
12322636,0.535232902
12322637,0.634354889
12322638,0.289773762
12322639,0.02672003
12322640,0.07311511
12322641,0.567656577
12332631,0.358727098
12332632,0.02558635
12332633,0.01491955
12332634,0.01105025
12332635,0.019853091
12332636,0.022571711
12332637,0.02395186
12342631,0.602482378
12342632,0.01140001
12142641,0.123474568
12142642,0.13006717
12142643,0.146084949
12152641,0.021494851
12152642,0.03036749
12152643,0.502218723
12152644,0.600163758
12162641,0.01315607
12162642,0.426749468
12162643,0.654259503
12162644,0.582627892
12162645,0.296269864
12172640,0.54253757
12172641,0.511361182
12172642,0.46716392
12172643,0.431049854
12172644,0.669099808
12172645,0.829146504
12182639,0.374616683
12182640,0.570448279
12182641,0.641075552
12182642,0.568440974
12182643,0.499429286
12182644,0.496592313
12182645,0.577357888
12182646,0.114447802
12192639,0.411805212
12192640,0.015774259
12192641,0.100545518
12192642,0.029548651
12192643,0.462168217
12192644,0.480030358
12192645,0.543938935
12202640,0.909172714
12202641,0.136360034
12202642,0.111250579
12202643,0.044087268
12202644,0.01211089
12202645,0.532201231
12212642,0.394090235
12212643,0.55499047
12212644,0.455661178
12232622,0.102278098
12232623,0.02627028
12232624,0.0868982
12232627,0.019640051
12242622,0.098820798
12242623,0.019912969
12242624,0.027547371
12242625,0.0358647
12242628,0.02770998
12252622,0.061783701
12252623,0.01745438
12252624,0.04917999
12252625,0.099471956
12252626,0.00510831
12252627,0.03231591
12252628,0.058713611
12252629,0.058483358
12262621,0.073880881
12262622,0.0210899
12262623,0.103183404
12262624,0.17093575
12262625,0.06121638
12262626,0.075548142
12262627,0.096370772
12262628,0.449260265
