from,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
21,0,21,2,14,3,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,0,1,45,0,2,0,0,0,27,0,0,0,14,0,18,2,11,0,25,2,0,1,1,0,0,1,1,2,1,1,0,4,0,0,0,0,0,1,2,14,30,4,1,6,0,6,26,7,3,5,99,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,30,0,0,0,1,0,0,1,2,3,6,0,0,0,2,3,0,0,1,0,0,2,0,0,3,1,0,6,8,0,1,0,0,0,8,0,0,2,4,0,0,0,1
22,0,22,2,14,3,0,0,0,0,2,0,0,0,1,3,0,2,0,0,0,1,0,45,0,2,0,0,0,27,0,0,0,14,0,19,2,11,0,25,2,0,1,1,0,0,1,1,2,1,1,0,4,0,0,0,0,0,1,2,14,30,4,1,6,0,6,26,7,3,5,100,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,30,0,0,0,1,0,0,1,2,3,6,0,0,0,2,3,0,0,1,0,0,2,0,0,3,1,0,6,8,0,1,0,0,0,8,0,0,2,4,0,0,0,1
23,3,1056,102,691,151,3,3,5,3,74,3,0,3,40,146,3,97,3,18,0,45,45,0,12,84,3,3,0,1317,3,7,12,691,3,908,107,538,7,1242,92,3,35,28,5,0,34,39,90,30,27,5,178,24,17,9,5,0,52,107,691,1475,206,44,284,0,309,1288,324,153,251,4900,3,313,167,32,3,3,7,3,5,5,5,3,6,3,30,3,3,8,7,3,5,89,54,113,1475,12,18,3,41,8,0,36,88,147,301,14,3,5,77,125,3,8,26,3,5,104,5,1,138,28,5,296,387,12,32,12,3,5,397,3,5,105,179,19,3,2,32
24,0,6,1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,4,0,5,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,8,1,0,2,0,2,7,2,1,1,26,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0
25,0,40,4,26,6,0,0,0,0,3,0,0,0,2,6,0,4,0,1,0,2,2,84,0,0,0,0,0,50,0,0,0,26,0,34,4,20,0,47,3,0,1,1,0,0,1,1,3,1,1,0,7,1,1,0,0,0,2,4,26,56,8,2,11,0,12,49,12,6,9,185,0,12,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,4,56,0,1,0,2,0,0,1,3,6,11,1,0,0,3,5,0,0,1,0,0,4,0,0,5,1,0,11,15,0,1,0,0,0,15,0,0,4,7,1,0,0,1
26,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,627,61,410,90,2,2,3,2,44,2,0,2,24,87,2,57,2,11,0,27,27,1317,7,50,2,2,0,0,2,4,7,410,2,539,64,319,4,737,55,2,21,17,3,0,20,23,53,18,16,3,106,14,10,5,3,0,31,63,410,876,123,26,169,0,184,765,193,91,149,2909,2,186,99,19,2,2,4,2,3,3,3,2,4,2,18,2,2,5,4,2,3,53,32,67,876,7,11,2,24,5,0,21,52,87,179,8,2,3,46,74,2,5,16,2,3,62,3,0,82,17,3,176,230,7,19,7,2,3,236,2,3,62,107,11,2,1,19
30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
