Str_ID,Link_ID,From,Prov_Code,Str_Type,GPS_E,GPS_S,EndGPS_E,EndGPS_S,Obst_Type,Num_Spans,Over_Length,Span_Length,Clear_Soffit,Clear_Width,Walk_Width,Total_Width,Barrier_Height,Des_Type,Mat_Type,Surf_Type
BN036010:0137.30,N036010:0136.1,137298,Niassa,BRDG,37.170375824,-13.8654947281,,,RIVR,8,80.00,10,0.40,5.00,,,,GIRD,CONC,CONC
BN036010:0137.47,N036010:0136.1,137469,Niassa,BRDG,37.1716918945,-13.8645448685,,,RIVR,1,33.00,33,10.00,4.00,,,,BAIL,STEL,STEL
BN036010:0146.10,N036010:0136.1,146096,Niassa,BRDG,37.2387428284,-13.8288345337,,,RIVR,1,24.00,24,1.60,4.00,,,,BAIL,STEL,STEL
BN036010:0162.50,N036010:0136.1,162496,Niassa,BRDG,37.3482093811,-13.7343416214,,,RIVR,1,24.00,24,1.50,4.00,,,,BAIL,STEL,STEL
BN036010:0216.51,N036010:0215.4,216510,Niassa,BRDG,37.386844635,-13.4233522415,,,RIVR,1,21.00,21,10.00,4.00,,,,BAIL,STEL,STEL
BN036010:0219.41,N036010:0215.4,219414,Niassa,VENT,37.3973312378,-13.3999252319,,,STRM,1,14.00,14,2.50,5.00,,,,VENT,CONC,CONC
BN036010:0228.09,N036010:0215.4,228094,Niassa,BRDG,37.4216079712,-13.3266563416,,,RIVR,1,37.00,37,8.00,4.00,,,,BAIL,STEL,STEL
BN036010:0232.71,N036010:0215.4,232710,Niassa,VENT,37.4441223145,-13.2925319672,,,STRM,1,14.00,14,2.00,5.50,,,,VENT,CONC,CONC
BN036010:0240.72,N036010:0215.4,240720,Niassa,BRDG,37.4777870178,-13.2360153198,,,RIVR,1,17.00,17,10.00,4.00,,,,BAIL,STEL,STEL
BN036010:0243.42,N036010:0215.4,243423,Niassa,VENT,37.4921875,-13.2164125443,,,STRM,1,8.00,8,2.50,5.00,,,,VENT,CONC,CONC
BN036110:0069.49,N036110:0049.8,69490,Niassa,BRDG,35.0294303894,-12.8208398819,,,RIVR,5,20.00,3.8,3.20,7.00,0.80,,,VENT,CONC,ASPH
BN036110:0094.30,N036110:0080.4,94297,Niassa,BRDG,34.9171981812,-12.6993999481,,,RIVR,2,9.60,4.8,3.20,3.90,0.00,,,BEAM,CONC,ASPH
BN036110:0096.73,N036110:0080.4,96727,Niassa,BRDG,34.8971405029,-12.6937398911,,,RIVR,5,23.80,4,3.00,6.50,0.00,,,VENT,CONC,ASPH
BN036110:0107.18,N036110:0106.5,107178,Niassa,BRDG,34.82762146,-12.7056903839,,,RIVR,4,21.00,2,2.10,6.40,0.00,,,VENT,CONC,ASPH
BN036110:0107.89,N036110:0106.5,107893,Niassa,BRDG,34.8252906799,-12.6999702454,,,RIVR,2,11.70,2.5,2.00,6.50,0.00,,,VENT,CONC,ASPH
BR065710:0024.99,R065710:0025.0,24985,Niassa,BRDG,36.6051902771,-15.162443161,,,RIVR,5,50.00,10,3.50,3.50,,,,SLAB,CONC,CONC
BR065710:0052.62,R065710:0026.3,52618,Niassa,VENT,36.6282157898,-14.9926748276,,,RIVR,,,,,5.00,,,,VENT,CONC,CONC
BR065710:0077.77,R065710:0026.3,77771,Niassa,BRDG,36.5389251709,-14.8253421783,,,STRM,4,20.00,5,1.40,4.00,,,,BEAM,COST,STEL
BR072010:0047.89,R072010:0000.0,47890,Niassa,VENT,36.2189331055,-14.9323339462,,,RIVR,2,14.00,,,4.00,,,,VENT,CONC,CONC
BR072010:0052.95,R072010:0000.0,52951,Niassa,BRDG,36.2531776428,-14.9045467377,,,RIVR,1,24.00,24,2.90,4.00,,,,BAIL,STEL,STEL
BR072010:0064.06,R072010:0000.0,64060,Niassa,BRDG,36.3451271057,-14.8647270203,,,RIVR,1,21.00,21,1.60,4.00,,,,BAIL,STEL,STEL
BR072010:0068.36,R072010:0064.1,68358,Niassa,BRDG,36.3730583191,-14.8373270035,,,STRM,1,15.00,15,1.30,4.00,,,,BAIL,STEL,STEL
